title_1,title_2,normalized_title_1,normalized_title_2,similarity,source_1,source_2,link_1,link_2,pubDate_1,pubDate_2
"In Guatemala, new AI technology will be ‘listening’ for illegal deforestation","In Guatemala, new AI technology will be ‘listening’ for illegal deforestation - news - Mongabay",guatemala technology listening illegal deforestation,guatemala technology listening illegal deforestation news,0.9181,mongabay,news - Mongabay,https://news.mongabay.com/2026/04/in-guatemala-new-ai-technology-will-be-listening-for-illegal-deforestation/,https://news.google.com/rss/articles/CBMirgFBVV95cUxPVGM0aG1ZSFRLemxlV192d3ZuckktcE1ScVFUQ3BZM293SmpiLWlJRkdZbzMwZlNGbmg4Y0JpMlNveE1tY0JLMjZpdUxfeHlqd19JLWFlb3Q3VUkxQ2kzdkZsa3FibzV3aWJUUUVTY3IzM0hlUU5VZUxRdzhZYkRNaXJkYmI0bF8yUng3Z1JXeVd1S2I3Tmd2NDlBY0R0VUd2MDBFMWk1MzdRQ1dXUEHSAbMBQVVfeXFMTkFlaUVYRnlRX3RCc0ZpbjVmaE9PcWFnaHFINHFuUHBNVWJUVGV5cS1KUEdGb1VLNmxMV3FGM2xBcllUMnhUOTlJUXJmSE8xNUpBWWRBNzJLT19EQ3d2VjJYTnQ3c3c1QTlzRnQzWFNueGZFVlllUkFDbjZCM0VtRnZCaVEzN19ScXBVSmU0NXYyOWQtSEZJbTlpN3pmZTFyMEhHbWpKOXB4WXBDOV9iU1l4amc?oc=5,2026-04-30 21:05:18,"Thu, 30 Apr 2026 21:06:18 GMT"
Fairfax India Holdings Corporation: First Quarter Financial Results,Fairfax India Holdings Corporation: First Quarter Financial Results,fairfax india holdings corporation first quarter financial results,fairfax india holdings corporation first quarter financial results,1.0000,benzinga,globenewswire,https://www.benzinga.com/pressreleases/26/04/g52199923/fairfax-india-holdings-corporation-first-quarter-financial-results,https://www.globenewswire.com/news-release/2026/04/30/3285558/0/en/Fairfax-India-Holdings-Corporation-First-Quarter-Financial-Results.html,2026-04-30 21:05:00,2026-04-30 21:05:00
BIS Capstone projects deliver technology solutions for Tulsa nonprofits,BIS Capstone projects deliver technology solutions for Tulsa nonprofits - The University of Tulsa,bis capstone projects deliver technology solutions tulsa nonprofits,bis capstone projects deliver technology solutions tulsa nonprofits,1.0000,news_utulsa,The University of Tulsa,https://utulsa.edu/news/bis-capstone-projects-deliver-technology-solutions-for-tulsa-nonprofits/,https://news.google.com/rss/articles/CBMinAFBVV95cUxPMThGYXpHUjdMeTRhT3FvdUFnTGYzMjlUT1pNLWJzaEZkOUZ1MHdIODA0blp2V2hFSS1oLWJDeHRNNzlBWUZwN01pcGVTZVNEN2I0eGRtTHRycm5HRFJqS21NdGZXejFmZXF6R2YyWDBiV3lMWWI2VEtvaE92dWRWekcxMGgtQXFKY095QkE1cTVMdjhGd25qZ0pKSmk?oc=5,2026-04-30 21:04:45,"Thu, 30 Apr 2026 21:04:45 GMT"
"Fed chair Jerome Powell says he will stay on central bank's board after term expires next month - ABC News - Breaking News, Latest News and Videos",Fed chair Jerome Powell says he will stay on central bank's board after term expires next month,fed chair jerome powell says stay central bank board term expires next month abc news,fed chair jerome powell says stay central bank board term expires next month,0.9309,Google News,ABC News,https://news.google.com/rss/articles/CBMikAFBVV95cUxOVTRuNnNUUkdLNnBuVk9RQTBiS25xcTVBVVpjeFpTaDFUWjJuWFl4QjBkUnp0YkozM3ZXUXRfQ1RSTW1kU2h0OXZiU0M2MHJUQWZBdDNnWVU1am1yb1UxRWlpYWlpN1Y5VUFwd1oxUjF0UlFMeEt3SUx4UURpb1ZpYXY1c0lkYThrLUZtVlpUSWnSAZYBQVVfeXFMUEQwcFlXdjlTV3lqejM2WFFIQ25UWlhUM1FQNjIzTGtGV2ZQaElPZ2Izd0gwR2lLZ1pSdTZhWDVXMTg4d0V6RGxZdnZSak9walllOHRDOFlUT2pYSUJrdjc0NFYyekpfdjVIQUpVaDZjRGpJMlVwLXFHdFhnYzN5b2g3cWpZNkl5Ty11U29pbHllLUNLVjdR?oc=5,https://abcnews.com/Business/fed-expected-hold-interest-rates-steady/story?id=132450311,2026-04-30T05:52:44Z,2026-04-29T19:01:00Z
‘Melrose Place’ Star Patrick Muldoon’s Cause of Death Revealed - Rolling Stone,'Melrose Place' star Patrick Muldoon's official cause of death revealed: report,melrose place star patrick muldoon cause death revealed,melrose place star patrick muldoon official cause death revealed,0.8608,Google News,Fox News,https://news.google.com/rss/articles/CBMirwFBVV95cUxQV1RYUjJXNTNZbk45bWpWZ1V6RUZ4bDRqLTNOU1ZtaXBlRDl2SXpONjdOTENOZHA4REY2VXpFU2lnRlp1NUNJMTZZQWQ3dkZBTUcwel8ybGxkXy1meFRJUE9EZkI5VU13Ti1TX2ZrZmZ0eFFMQUgxaGJqQWZZSmRzREtyNEl3WTNkVk5ycC1YQ09fa0lPdGUzd3lwWnU3R08xdlJiZ1RwVWtDVkJMZWlZ?oc=5,https://www.foxnews.com/entertainment/melrose-place-star-patrick-muldoons-official-cause-death-revealed-report,2026-04-30T02:46:34Z,2026-04-30T02:52:23.3037592Z
Why Gorilla Technology (GRRR) Is Deepening Its AI Infrastructure Push With Astrikos.AI - Yahoo Finance UK,Why Gorilla Technology (GRRR) Is Deepening Its AI Infrastructure Push With Astrikos.AI - Yahoo Finance,gorilla technology deepening infrastructure push astrikos,gorilla technology deepening infrastructure push astrikos,1.0000,Yahoo Finance UK,Yahoo Finance,https://news.google.com/rss/articles/CBMijwFBVV95cUxPcGpjcmpJa2FHSzNNU3VLelRYSEVrX1VtMXIwblJOYlg4T0ZnSmhqY2F6N2FfWGYtcFZRLU4zbC1wcW5fZDVxeURmZUppYXdKM1FrbFhNWXV5Ukx5U3NfaWUzNTdKUWNaUFFYZHBQTm1valMyN0U1Vlh3ZlJiVU9iaEI5OURwWGhNd1M4d3FGRQ?oc=5,https://news.google.com/rss/articles/CBMipAFBVV95cUxPOUFRUTdKbmp1RHlsZGdNZTdqV05aa0xvQktwUmw0QUpzNUpHaTEtSFlRVFVYc1V3TXQ1Qnd2aGxvNGpHXy1NZ3Q4Qm5Ta2RqZkdQZUxuRkhxd09DdVpxclltbTFyTTZVdkFWdWdVRm9HOWRCWW5mSnVRVkpESVVLb3NtOEJpOTJOTGtpNXNfQ0VEclMyVE9SQmVIeTR1TUFRWFJjZQ?oc=5,"Fri, 01 May 2026 09:05:11 GMT","Fri, 01 May 2026 09:05:11 GMT"
Prediction: This Under-the-Radar Artificial Intelligence (AI) Stock Could Be a Multibagger by the End of 2027 - The Motley Fool,Prediction: This Under-the-Radar Artificial Intelligence (AI) Stock Could Be a Multibagger by the End of 2027 - The Globe and Mail,prediction radar artificial intelligence stock could multibagger end,prediction radar artificial intelligence stock could multibagger end,1.0000,The Motley Fool,The Globe and Mail,https://news.google.com/rss/articles/CBMimAFBVV95cUxOakdkcEJKMnNjLXo2clRyVkJYWVlKeU56b3AzaWVjLWlHUjZQaGJybnNPX2ZNZ2VnTzlTdXJKQ0NnQXV1a1VCUlNoN3pjS1ZvOWhreFR1d0VZbktWdm1ldV9jb093VDFzcnJiSHRDVnlMb1NqcC1xc2ZDdnJLXzBuT3lsX3JncXVVTklQQXB0VTluSXdTYUtzVA?oc=5,https://news.google.com/rss/articles/CBMimwJBVV95cUxPbE5oeXk2bzdRRkh1RXRWdy1kbWVmX1d5d09hWHVpZU9ZQkFVeEltZXlEdWZBSFkyVW9PTGJyWUN0dElPRHRiRjB1eHNyV3BEYU1zcW1FcHk3WTRYcWFHcktNOHhNM1VESEFsUkZiMy1hM3FnT3paMzY1YTk0QzV4YWprbkYzZEpnVlVuVWk0YlFsOWlzdGlwQ2E1dlItTWpxaVFZcmFJMDhQc3FsZ0lreVZYbXZjT0Z2QjNXMmdPSldBS3o3N3A2OWk0ZXlRQlo3WXF6YTJmMGlaX1VRUDFWR0tnRG9WS1dTWG16WkotdWloOTFEUVFxbWwxZjRONG9UOHZFeEJkam5SUjhucXlpR2xQSTAyTkljWTdv?oc=5,"Thu, 30 Apr 2026 21:00:00 GMT","Thu, 30 Apr 2026 20:25:35 GMT"
Prediction: This Under-the-Radar Artificial Intelligence (AI) Stock Could Be a Multibagger by the End of 2027 - The Motley Fool,Prediction: This under-the-radar artificial intelligence (AI) stock could be a multibagger by the end of 2027 - MSN,prediction radar artificial intelligence stock could multibagger end,prediction radar artificial intelligence stock could multibagger end,1.0000,The Motley Fool,MSN,https://news.google.com/rss/articles/CBMimAFBVV95cUxOakdkcEJKMnNjLXo2clRyVkJYWVlKeU56b3AzaWVjLWlHUjZQaGJybnNPX2ZNZ2VnTzlTdXJKQ0NnQXV1a1VCUlNoN3pjS1ZvOWhreFR1d0VZbktWdm1ldV9jb093VDFzcnJiSHRDVnlMb1NqcC1xc2ZDdnJLXzBuT3lsX3JncXVVTklQQXB0VTluSXdTYUtzVA?oc=5,https://news.google.com/rss/articles/CBMilAJBVV95cUxOUXpSOExpMTZlVFdNbEFsZloybmhuY2lhcnhjWGpmMVctTVNRSnViZXBRWmtxUThHSnpwWVhzeTYyNjRGM05lVVZNYVlhV0V5WmhjNDBXMVVtSGdtMHBhVHdfREhRVlIxZ0poZDdRLWt4cHk0ODVSYkp6TVdqUlFCQVhiV2lfM0ZGaW9WR0VtdDZzZlA0ZG4xYU9rNzN4M2QyemxkbFo5M3V0SkV4WVZxdEFTVlVmTEpVaGtCNmMzRGx3RFkwX1NzS19Ha1dCMUp6d1pFSk5yNzFWRTA5SzRwSEZfVWNBdTZid3NJX2ltT0NBUFFlVlVNX0Rjdk5kMWpGTHZybEY4c1BmanRDWHMxckkwUTM?oc=5,"Thu, 30 Apr 2026 21:00:00 GMT","Thu, 30 Apr 2026 21:12:40 GMT"
3 Artificial Intelligence Stocks You Can Buy and Hold for the Next Decade - The Motley Fool,3 Artificial Intelligence Stocks You Can Buy and Hold for the Next Decade - Yahoo Finance,artificial intelligence stocks buy hold next decade,artificial intelligence stocks buy hold next decade,1.0000,The Motley Fool,Yahoo Finance,https://news.google.com/rss/articles/CBMilgFBVV95cUxPU0FKTVBmZFgwZWRDRjl1ZURYb0F2QVpnLVUwVld1Nk94MHVvRlJCdzAyMXlwQnVCQnp5OWRtUy15emQxVlY5YkNQdFgxYjN4akh6WWJaLXhhcV9BbHpjV2VRUGZrNllwWGRXcXY0VGk2czVHQTlsVUdnSmhLOGRHc2hMX28xR1czZVo1N2JuTmhVZ2E1b3c?oc=5,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNMHZqckN0TE1rR0gyR2FlZlFVdllSSDA0dnFvMmpPaF92LVFIMGx5TjNwTE5ZOW5OelpJM0pOdm5iM1QxNlBPeTdJVDlSdXlvUlQ5dGZhcnowa0QwTjZfbWY3RGJJNXBnYkNLWWZjOHJEcUdmWVdySTNsRjVhTDE5U2N6RC1COVdKVmhCWlBjRU1hZnExVkF3OElraFFoVkVSTmp2NUZoczk?oc=5,"Thu, 30 Apr 2026 16:02:00 GMT","Thu, 30 Apr 2026 15:22:00 GMT"
3 Artificial Intelligence Stocks You Can Buy and Hold for the Next Decade - The Motley Fool,3 Artificial Intelligence Stocks You Can Buy and Hold for the Next Decade - AOL.com,artificial intelligence stocks buy hold next decade,artificial intelligence stocks buy hold next decade,1.0000,The Motley Fool,AOL.com,https://news.google.com/rss/articles/CBMilgFBVV95cUxPU0FKTVBmZFgwZWRDRjl1ZURYb0F2QVpnLVUwVld1Nk94MHVvRlJCdzAyMXlwQnVCQnp5OWRtUy15emQxVlY5YkNQdFgxYjN4akh6WWJaLXhhcV9BbHpjV2VRUGZrNllwWGRXcXY0VGk2czVHQTlsVUdnSmhLOGRHc2hMX28xR1czZVo1N2JuTmhVZ2E1b3c?oc=5,https://news.google.com/rss/articles/CBMihwFBVV95cUxNV0pFcUVnMi12OTh4bmNCOEJON08wZHlwRkxqUFU5SzFBUFhFakRVSk1mcElJS1lxa0NYeGRsV0VJMWNvRURsRmgzZXVHU1RvTVNvT0Z3bFdrREZHaGVXUGZMN3o3dUZ2SzNjdTluZnFKN1U5T2Z4ZmdOelVhcVN0U2szajVhVmM?oc=5,"Thu, 30 Apr 2026 16:02:00 GMT","Thu, 30 Apr 2026 15:38:09 GMT"
